job_name,conclusion,duration_seconds,run_number,date
🧪 Run Tests,success,454.0,17,2026-01-23 22:53:24
🚀 Deploy to Hetzner,success,24.0,17,2026-01-23 22:53:24
🧪 Run Tests,success,434.0,18,2026-01-23 23:07:33
🚀 Deploy to Hetzner,success,189.0,18,2026-01-23 23:07:33
🧪 Run Tests,success,433.0,20,2026-01-24 13:48:55
🚀 Deploy to Hetzner,success,167.0,20,2026-01-24 13:48:55
🧪 Run Tests,success,428.0,21,2026-01-24 14:22:05
🚀 Deploy to Hetzner,success,177.0,21,2026-01-24 14:22:05
🧪 Run Tests,success,495.0,22,2026-01-24 14:24:23
🚀 Deploy to Hetzner,success,162.0,22,2026-01-24 14:24:23
🧪 Run Tests,success,440.0,25,2026-01-24 19:27:17
🚀 Deploy to Hetzner,success,207.0,25,2026-01-24 19:27:17
🧪 Run Tests,success,460.0,26,2026-01-24 19:54:42
🚀 Deploy to Hetzner,success,167.0,26,2026-01-24 19:54:42
🧪 Run Tests,success,446.0,28,2026-01-25 00:02:17
🚀 Deploy to Hetzner,success,122.0,28,2026-01-25 00:02:17
🧪 Run Tests,success,456.0,29,2026-01-25 00:19:34
🚀 Deploy to Hetzner,success,107.0,29,2026-01-25 00:19:34
🧪 Run Tests,success,447.0,31,2026-01-25 20:13:30
🚀 Deploy to Hetzner,success,121.0,31,2026-01-25 20:13:30
🧪 Run Tests,success,442.0,32,2026-01-25 20:31:13
🚀 Deploy to Hetzner,success,95.0,32,2026-01-25 20:31:13
🧪 Run Tests,success,443.0,34,2026-01-26 19:31:34
🚀 Deploy to Hetzner,success,126.0,34,2026-01-26 19:31:34
🧪 Run Tests,success,478.0,35,2026-01-26 20:15:15
🚀 Deploy to Hetzner,success,111.0,35,2026-01-26 20:15:15
🧪 Run Tests,success,436.0,42,2026-01-28 16:16:31
🚀 Deploy to Hetzner,success,171.0,42,2026-01-28 16:16:31
🧪 Run Tests,success,447.0,43,2026-01-28 22:38:07
🚀 Deploy to Hetzner,success,170.0,43,2026-01-28 22:38:07
🐍 Backend Tests,success,124.0,44,2026-01-29 21:36:43
⚛️ Frontend Unit Tests,success,79.0,44,2026-01-29 21:36:43
🔗 E2E Integration Tests,success,172.0,44,2026-01-29 21:36:43
🎭 E2E Tests (Mocked),success,267.0,44,2026-01-29 21:36:43
🚀 Deploy to Hetzner,success,199.0,44,2026-01-29 21:36:43
🎭 E2E Tests (Mocked),success,273.0,45,2026-01-31 17:22:09
🐍 Backend Tests,success,137.0,45,2026-01-31 17:22:09
⚛️ Frontend Unit Tests,success,75.0,45,2026-01-31 17:22:09
🔗 E2E Integration Tests,success,177.0,45,2026-01-31 17:22:09
🚀 Deploy to Hetzner,success,204.0,45,2026-01-31 17:22:09
🐍 Backend Tests,success,135.0,48,2026-01-31 19:01:10
🔗 E2E Integration Tests,success,170.0,48,2026-01-31 19:01:10
⚛️ Frontend Unit Tests,success,70.0,48,2026-01-31 19:01:10
🎭 E2E Tests (Mocked),success,270.0,48,2026-01-31 19:01:10
🚀 Deploy to Hetzner,success,199.0,48,2026-01-31 19:01:10
⚛️ Frontend Unit Tests,success,82.0,49,2026-01-31 19:12:17
🎭 E2E Tests (Mocked),success,275.0,49,2026-01-31 19:12:17
🔗 E2E Integration Tests,success,164.0,49,2026-01-31 19:12:17
🐍 Backend Tests,success,138.0,49,2026-01-31 19:12:17
🚀 Deploy to Hetzner,success,245.0,49,2026-01-31 19:12:17
⚛️ Frontend Unit Tests,success,79.0,50,2026-01-31 20:29:46
🔗 E2E Integration Tests,success,162.0,50,2026-01-31 20:29:46
🐍 Backend Tests,success,130.0,50,2026-01-31 20:29:46
🎭 E2E Tests (Mocked),success,258.0,50,2026-01-31 20:29:46
🚀 Deploy to Hetzner,success,254.0,50,2026-01-31 20:29:46
